SHAP FEATURE IMPORTANCE RANKING
==================================================

                        Feature  Importance
                  Expense_Ratio    0.469419
                     Dependents    0.340780
                    Savings_Gap    0.085597
                  Recovery_Rate    0.062096
              Disposable_Income    0.019679
                            Age    0.010973
                           Rent    0.007496
                         Income    0.006487
                      Education    0.006137
    Potential_Savings_Education    0.005340
                      Insurance    0.005169
Potential_Savings_Entertainment    0.003037
                  Miscellaneous    0.002977
        Total_Potential_Savings    0.002861
                 Loan_Repayment    0.002811
                      Utilities    0.002749
               City_Tier_Tier_2    0.002613
                     Eating_Out    0.002440
    Potential_Savings_Groceries    0.002331
                      Transport    0.002224
Potential_Savings_Miscellaneous    0.002130
   Potential_Savings_Eating_Out    0.001966
     Desired_Savings_Percentage    0.001907
                  Entertainment    0.001813
                     Healthcare    0.001811
    Potential_Savings_Utilities    0.001643
    Potential_Savings_Transport    0.001409
   Potential_Savings_Healthcare    0.001194
                 Total_Expenses    0.001133
                Desired_Savings    0.000824
                      Groceries    0.000764
             Occupation_Retired    0.000570
               City_Tier_Tier_3    0.000317
             Occupation_Student    0.000276
       Occupation_Self_Employed    0.000244

Base Value (Expected Model Output): N/A (PermutationExplainer)
